filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365076869.bmp,1603482874805,111,113,4.99648,107,111,106,113,1116.18,482.052,702.187,512.038,1.34327,177.534,342.462,344.092,1,1,1,1
1603365076902.bmp,1603482874825,111,113,4.98268,108,111,106,113,1115.88,482.01,701.905,511.927,1.04185,178.633,344.021,344.092,1,1,1,1
1603365076936.bmp,1603482874845,111,113,4.99141,108,111,106,113,1116.1,481.851,702.276,511.912,2.46186,178.791,344.021,344.092,1,1,1,1
1603365076969.bmp,1603482874865,111,113,4.99328,107,111,106,113,1116.19,481.913,702.319,511.89,11.961,177.891,342.462,344.092,1,1,1,1
1603365077000.bmp,1603482874885,111,113,4.994,108,111,106,113,1116.65,482.18,702.846,512.175,3.31827,178.035,344.021,344.092,1,1,1,1
1603365077033.bmp,1603482874905,111,113,5.00062,107,111,106,113,1116.64,482.112,702.75,512.143,1.99697,176.741,342.462,344.092,1,1,1,1
1603365077069.bmp,1603482874925,111,113,4.99447,108,111,106,113,1116.98,482.559,703.014,512.397,2.56528,179.847,344.021,344.092,1,1,1,1
1603365077102.bmp,1603482874945,111,113,4.99116,108,111,106,113,1117.34,482.711,703.474,512.773,3.27439,0.985448,344.021,344.092,1,1,1,1
1603365077136.bmp,1603482874965,111,113,4.99434,108,111,106,113,1117.34,482.793,703.401,512.695,2.49759,179.06,344.021,344.092,1,1,1,1
1603365077169.bmp,1603482874985,111,113,4.9852,108,111,106,113,1117.12,482.735,703.335,512.913,2.95276,0.581229,344.021,344.092,1,1,1,1
1603365077200.bmp,1603482875005,111,113,4.98926,107,111,106,113,1117.4,482.632,703.432,512.828,177.345,0.426836,342.462,344.092,1,1,1,1
1603365077233.bmp,1603482875025,111,113,4.9982,107,111,106,113,1117.41,482.848,703.378,512.612,5.33423,177.35,342.462,344.092,1,1,1,1
1603365077269.bmp,1603482875045,111,113,4.98998,108,111,106,113,1117.2,482.809,703.383,512.969,2.74172,0.222484,344.021,344.092,1,1,1,1
1603365077302.bmp,1603482875065,111,113,4.99858,108,111,106,113,1117.07,482.495,703.224,512.439,1.44805,178.809,344.021,344.092,1,1,1,1
1603365077336.bmp,1603482875085,111,113,4.99847,108,111,106,113,1117.05,482.293,703.097,512.273,0.233311,178.306,344.021,344.092,1,1,1,1
1603365077369.bmp,1603482875105,111,113,4.9941,108,111,106,113,1116.66,482.302,702.819,512.311,1.32104,177.928,344.021,344.092,1,1,1,1
1603365077402.bmp,1603482875125,111,113,4.99472,107,111,106,113,1116.4,482.287,702.26,512.256,0.864074,177.654,342.462,344.092,1,1,1,1
1603365077436.bmp,1603482875145,111,113,4.99745,108,111,106,113,1116.15,482.09,702.251,512.148,179.694,177.444,344.021,344.092,1,1,1,1
1603365077469.bmp,1603482875165,111,113,4.98952,108,111,106,113,1116.18,482.342,702.243,512.161,4.41954,179.233,344.021,344.092,1,1,1,1
1603365077502.bmp,1603482875185,111,113,5.00001,107,111,106,113,1116.3,482.43,702.361,512.465,2.77337,177.652,342.462,344.092,1,1,1,1
1603365077536.bmp,1603482875205,111,113,5.00071,108,111,106,113,1115.92,482.699,702.153,512.635,0.0461269,176.441,344.021,344.092,1,1,1,1
1603365077566.bmp,1603482875225,111,113,4.99461,108,111,106,113,1115.69,482.642,701.6,512.558,179.453,175.612,344.021,344.092,1,1,1,1
1603365077602.bmp,1603482875245,111,113,5.00089,108,111,106,113,1115.48,482.742,701.418,512.738,1.79888,176.582,344.021,344.092,1,1,1,1
1603365077633.bmp,1603482875265,111,113,4.99534,108,111,106,113,1115.43,482.821,701.417,512.806,3.07448,176.419,344.021,344.092,1,1,1,1
1603365077666.bmp,1603482875285,111,113,4.99598,108,111,106,113,1115.04,482.567,701.148,512.625,3.91031,177.706,344.021,344.092,1,1,1,1
1603365077702.bmp,1603482875305,111,113,5.00007,108,111,106,113,1114.84,482.506,700.928,512.655,5.573,177.78,344.021,344.092,1,1,1,1
1603365077736.bmp,1603482875325,111,113,4.99846,107,111,106,113,1114.51,482.869,700.709,512.963,7.32529,178.528,342.462,344.092,1,1,1,1
1603365077769.bmp,1603482875345,111,113,5.0072,107,111,106,113,1114.48,482.543,700.599,512.731,0.945115,179.186,342.462,344.092,1,1,1,1
1603365077802.bmp,1603482875365,111,113,4.9996,107,111,106,113,1114.21,482.123,700.329,512.139,1.1243,179.503,342.462,344.092,1,1,1,1
1603365077836.bmp,1603482875385,111,113,4.9973,108,111,106,113,1114.38,482.061,700.572,512.178,176.262,176.695,344.021,344.092,1,1,1,1
1603365077869.bmp,1603482875405,111,113,4.99315,108,111,106,113,1114.54,481.905,700.596,511.843,1.079,178.849,344.021,344.092,1,1,1,1
1603365077902.bmp,1603482875425,111,113,4.99126,108,111,106,113,1114.62,481.322,700.936,511.429,3.67797,0.784155,344.021,344.092,1,1,1,1
1603365077936.bmp,1603482875445,111,113,4.99005,108,111,106,113,1115.17,481.582,701.268,511.694,1.01139,177.47,344.021,344.092,1,1,1,1
1603365077969.bmp,1603482875465,111,113,4.99403,108,111,106,113,1115.34,481.786,701.35,511.7,0.920576,178.076,344.021,344.092,1,1,1,1
1603365078000.bmp,1603482875485,111,113,4.99043,108,111,106,113,1115.6,481.893,701.657,511.86,2.19917,179.842,344.021,344.092,1,1,1,1
1603365078036.bmp,1603482875505,111,113,4.99276,107,111,106,113,1115.32,481.912,701.356,511.989,3.51201,178.147,342.462,344.092,1,1,1,1
1603365078069.bmp,1603482875525,111,113,4.98684,107,111,106,113,1114.7,481.683,700.851,511.596,1.93255,176.288,342.462,344.092,1,1,1,1
1603365078102.bmp,1603482875545,111,113,4.9935,108,111,106,113,1114.39,481.803,700.617,511.857,4.50037,179.25,344.021,344.092,1,1,1,1
1603365078133.bmp,1603482875565,111,113,4.99424,108,111,106,113,1114.17,482.124,700.267,511.974,0.280202,177.304,344.021,344.092,1,1,1,1
1603365078169.bmp,1603482875585,111,113,4.99229,108,111,106,113,1113.99,482.188,700.22,512.314,2.00909,178.661,344.021,344.092,1,1,1,1
1603365078202.bmp,1603482875605,111,113,4.99779,108,111,106,113,1114.01,482.18,700.114,512.117,1.21803,176.176,344.021,344.092,1,1,1,1
1603365078236.bmp,1603482875625,111,113,5.00147,108,111,106,113,1114.19,482.061,700.268,512.081,179.223,177.703,344.021,344.092,1,1,1,1
1603365078269.bmp,1603482875645,111,113,4.98868,108,111,106,113,1114.34,482.119,700.589,512.217,9.39668,177.188,344.021,344.092,1,1,1,1
1603365078302.bmp,1603482875665,111,113,4.99485,108,111,106,113,1113.83,482.471,700.004,512.102,10.4609,177.96,344.021,344.092,1,1,1,1
1603365078336.bmp,1603482875685,111,112,4.98168,108,111,106,112,1113.66,481.724,699.926,511.847,3.0785,177.414,344.021,342.498,1,1,1,1
1603365078369.bmp,1603482875705,111,113,4.98777,108,111,106,113,1113.97,481.315,700.259,511.334,6.91016,176.308,344.021,344.092,1,1,1,1
1603365078402.bmp,1603482875725,111,113,4.99677,108,111,106,113,1114.29,481.988,700.377,511.921,179.96,178.921,344.021,344.092,1,1,1,1
1603365078436.bmp,1603482875745,111,113,4.99178,108,111,106,113,1113.88,482.156,700.047,511.963,3.69679,178.364,344.021,344.092,1,1,1,1
1603365078466.bmp,1603482875765,111,113,4.99536,108,111,106,113,1113.42,481.344,699.793,511.242,1.9916,178.813,344.021,344.092,1,1,1,1
1603365078502.bmp,1603482875785,111,113,4.99535,107,111,106,113,1114.22,481.515,700.328,511.618,6.04019,177.636,342.462,344.092,1,1,1,1
1603365078536.bmp,1603482875805,111,113,4.99735,107,111,106,113,1113.64,481.45,699.85,511.44,3.64831,178.343,342.462,344.092,1,1,1,1
1603365078566.bmp,1603482875825,111,113,4.99508,108,111,106,113,1113.51,481.593,699.68,511.545,6.48614,175.889,344.021,344.092,1,1,1,1
1603365078602.bmp,1603482875845,111,113,4.99864,108,111,106,113,1113.72,481.462,699.788,511.489,6.28392,178.633,344.021,344.092,1,1,1,1
1603365078636.bmp,1603482875865,111,113,4.98835,108,111,106,113,1114.28,481.93,700.389,512.021,179.324,178.49,344.021,344.092,1,1,1,1
1603365078669.bmp,1603482875885,111,113,4.98931,108,111,106,113,1114.18,481.992,700.349,512.092,178.178,178.282,344.021,344.092,1,1,1,1
1603365078702.bmp,1603482875905,111,113,4.99963,107,111,106,113,1114.14,482.06,700.146,512.077,177.768,177.866,342.462,344.092,1,1,1,1
1603365078736.bmp,1603482875925,111,113,4.99962,107,111,106,113,1114.45,482.309,700.538,512.303,4.37395,176.901,342.462,344.092,1,1,1,1
1603365078769.bmp,1603482875945,111,113,4.99252,108,111,106,113,1114.26,482.2,700.418,512.343,4.38708,177.596,344.021,344.092,1,1,1,1
1603365078802.bmp,1603482875965,111,113,4.99678,108,111,106,113,1113.87,482.112,700.07,512.045,4.04539,179.897,344.021,344.092,1,1,1,1
1603365078836.bmp,1603482875985,111,113,4.98427,108,111,106,113,1113.71,481.777,699.976,511.9,4.14099,177.597,344.021,344.092,1,1,1,1
1603365078869.bmp,1603482876005,111,113,4.98499,108,111,106,113,1113.71,481.701,699.927,511.88,3.70906,177.659,344.021,344.092,1,1,1,1
1603365078902.bmp,1603482876025,111,113,4.99561,107,111,106,113,1113.7,481.542,699.85,511.719,2.03169,177.383,342.462,344.092,1,1,1,1
1603365078936.bmp,1603482876045,111,113,4.99669,108,111,106,113,1113.85,481.533,700.065,511.637,1.76221,179.104,344.021,344.092,1,1,1,1
1603365078969.bmp,1603482876065,111,108,4.86671,108,111,104,108,1114.22,481.551,702.097,506.926,6.68155,138.509,344.021,333.038,1,1,1,1
1603365079002.bmp,1603482876085,111,113,4.9876,108,111,106,113,1114.05,481.061,700.227,511.152,5.35162,177.732,344.021,344.092,1,1,1,1
1603365079036.bmp,1603482876105,111,113,4.98655,108,111,106,113,1114.04,481.197,700.234,511.226,5.11967,176.652,344.021,344.092,1,1,1,1
1603365079066.bmp,1603482876125,111,113,4.99638,108,111,106,113,1113.81,481.416,699.986,511.495,6.3929,179.073,344.021,344.092,1,1,1,1
1603365079102.bmp,1603482876145,111,113,4.9949,107,111,106,113,1113.69,481.17,699.896,511.399,5.94905,178.342,342.462,344.092,1,1,1,1
1603365079136.bmp,1603482876165,111,113,4.98996,108,111,106,113,1114.1,481.332,700.287,511.469,1.23895,177.958,344.021,344.092,1,1,1,1
1603365079169.bmp,1603482876185,111,113,4.98874,108,111,106,113,1114.32,481.535,700.349,511.554,4.59481,177.904,344.021,344.092,1,1,1,1
1603365079202.bmp,1603482876205,111,113,4.98828,108,111,106,113,1114.23,481.359,700.404,511.346,1.74474,177.203,344.021,344.092,1,1,1,1
1603365079233.bmp,1603482876225,111,113,4.99536,108,111,106,113,1114.14,481.47,700.316,511.617,4.02775,177.893,344.021,344.092,1,1,1,1
1603365079269.bmp,1603482876245,111,113,4.98416,107,111,106,113,1114.45,481.437,700.539,511.541,5.45567,177.778,342.462,344.092,1,1,1,1
1603365079302.bmp,1603482876265,111,113,4.98618,107,111,106,113,1114.51,481.779,700.347,511.838,8.79276,178.051,342.462,344.092,1,1,1,1
1603365079336.bmp,1603482876285,111,113,4.99551,107,111,106,113,1113.73,481.281,700.034,511.416,9.02937,178.123,342.462,344.092,1,1,1,1
1603365079369.bmp,1603482876305,111,113,4.98887,108,111,106,113,1114.1,481.257,700.39,511.263,4.35053,176.562,344.021,344.092,1,1,1,1
1603365079402.bmp,1603482876325,111,113,4.99488,107,111,106,113,1113.98,480.991,700.234,511.061,9.83402,178.068,342.462,344.092,1,1,1,1
1603365079433.bmp,1603482876345,111,113,5.00238,107,111,106,113,1113.89,480.952,700.09,510.852,1.61651,178.992,342.462,344.092,1,1,1,1
1603365079466.bmp,1603482876365,111,113,4.99372,108,111,106,113,1114.17,481.09,700.383,511.112,7.9327,178.226,344.021,344.092,1,1,1,1
